#power_law_True_
#Waveht,40.0
#Wavevel,300.0
#Gas_mass,28
#Gas_type,n2
#Pressure,3.4
#Temperature,298.0
#TWIM_length,0.254
#EDC,1.57
#Pot_Factor,0.41675
#Wave_lambda,0.012
#id,oligomer,mass,charge,exp_avg_vel,pub_ccs,pub_corr_ccs,mobility,pred_vel,pred_ccs,pred_corr_ccs,pred_mobility,vel_deviation,ccs_deviation
ADH,4,148000.0,23,7.6470931958563035,74.2,17.069233008836722,0.020400060339458854,8.385417121421641,76.49949310443021,17.598216615329076,0.019786856301407137,9.654961782934853,3.099047310552846
ADH,4,148000.0,24,8.31888923306358,74.5,16.424152493621808,0.02120129994310378,9.420011755899633,77.6305755513228,17.114314241913487,0.02034632404234851,13.236412842950497,4.202114833990344
ADH,4,148000.0,25,9.006835357463038,74.4,15.746022385294552,0.022114371160411504,10.699240429721625,78.76535514768085,16.669906523401316,0.020888742407747022,18.79022992083746,5.86741283290436
avidin,4,64000.0,15,13.24072895431379,41.5,14.636622510166015,0.023790555716436408,13.34061037151383,41.60340220068465,14.673091401205571,0.023731426037456704,0.7543498363622848,0.24916192936059867
avidin,4,64000.0,16,14.907639279363726,41.5,13.721833603280638,0.025376592764198836,16.21141168435151,42.66829276185487,14.108125624439428,0.02468176089425684,8.745666436888929,2.815163281578004
avidin,4,64000.0,17,16.572459133635423,41.6,12.94578660006179,0.026897815797990204,19.327521727664163,43.77330972153792,13.622113616188463,0.025562360815632647,16.62434386962567,5.224302215235382
b-lactoglobulin,1,18000.0,7,15.72273541019144,19.5,14.729162883439297,0.023641084431218075,13.089092463916451,18.35144830427487,13.861613908752846,0.025120695585719235,-16.75053912417726,-5.8900086960263
b-lactoglobulin,1,18000.0,8,19.192341317265225,20.3,13.416756703440539,0.025953618376284442,17.350395464731324,19.63298334000293,12.975909400764568,0.02683537412091012,-9.59729624481462,-3.285796354665372
b-lactoglobulin,2,37000.0,11,13.340362386547172,32.3,15.531900057618115,0.02241923924547528,11.150911326689004,30.438376204444765,14.636712604446364,0.023790409276928146,-16.41223076568053,-5.763541162709697
b-lactoglobulin,2,37000.0,12,15.137703802955699,33.1,14.590208490657266,0.023866237658737206,13.469185412596724,31.844425038195784,14.036761346597672,0.02480724539873681,-11.02226871444789,-3.793277830224223
bsa,1,67000.0,14,9.907506509356685,44.9,16.967059852657123,0.02052290652313695,8.538840759632288,42.74316187698647,16.15202195676262,0.021558501112782354,-13.814432000946189,-4.8036483808764565
bsa,1,67000.0,15,11.217647250010184,44.9,15.835922529146647,0.02198882841764673,10.516860834291919,43.95107060379142,15.501241629280525,0.02246358012191788,-6.247178219279713,-2.1134284993509507
bsa,1,67000.0,16,12.481908840481244,44.7,14.780047405056832,0.02355969326657332,12.953477649565661,45.25228668148954,14.962660902452734,0.02327215630954194,3.778018371316957,1.2355406744732298
conA,4,103000.0,19,9.280183696204249,60.6,16.874814854915886,0.02063509355938872,8.680582235536237,59.27440961424188,16.50568791872571,0.021096568955087516,-6.461094740110146,-2.187442880788975
conA,4,103000.0,20,10.20115810489053,60.8,16.08398194752379,0.02164969996016199,10.03461894773579,60.46951013041388,15.996554429493154,0.02176802416191228,-1.6325514754535448,-0.5435688644508502
conA,4,103000.0,21,11.12671300092723,60.9,15.343272252572037,0.022694857889273255,11.5700697592086,61.693058865694205,15.543077147295554,0.02240311747980611,3.9846157463073166,1.302231306558631
cytochrome-c,1,12000.0,6,20.104438273944275,14.9,13.125260962561036,0.026530015999057705,18.540370733471807,14.505716414778226,12.777940496165737,0.027251135144434262,-7.779712713980816,-2.646198558535401
cytochrome-c,1,12000.0,7,23.523879013060956,15.9,12.005272251470018,0.02900503845599287,24.27161684830555,16.0656068166874,12.130313441471998,0.028706049930915606,3.178633229789324,1.0415523062100562
GDH,6,337000.0,37,4.868797779673708,134.0,19.163024233678343,0.018171108019400143,5.912517405252221,142.9012486764906,20.43597083142153,0.017039238615136055,21.436906456370853,6.64272289290344
GDH,6,337000.0,38,5.184004471498439,134.0,18.658734122265756,0.0186622190469515,6.408391293440969,143.74629338234615,20.015849770764223,0.017396882336575246,23.618552581777006,7.2733532704075765
GDH,6,337000.0,39,5.528415414831831,134.0,18.18030504220766,0.019153330074502855,6.9313371622123885,144.42001617976896,19.594029465289296,0.01777140245427362,25.37656167473864,7.776131477439525
PVK,4,233000.0,31,6.142704827595598,111.0,18.945854916531406,0.018379396699840376,6.1195666515624785,110.86137496311582,18.92219392701243,0.018402378956250895,-0.37667732183994257,-0.12488742061637712
PVK,4,233000.0,32,6.599893580340087,111.0,18.3537969503898,0.018972280464351357,6.7353550777934075,111.74928267416884,18.47769048246313,0.018845070689923908,2.052480025690662,0.6750294361881433
PVK,4,233000.0,33,7.074420233577267,110.0,17.637282354728935,0.019743029358215633,7.596055911968799,112.62213950011416,18.057713397792583,0.019283359728763796,7.3735466818283815,2.3837631819219625
